IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150339218,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,04/18/2015,16:10,CENTRAL,"ARREST, BOOKED",2800 Block of LEAVENWORTH ST,-122.419067224379,37.8073339305952,"(37.8073339305952, -122.419067224379)",15033921862050
150339218,WEAPON LAWS,"WEAPON, POSSESSING IN PUBLIC BUILDING OR OPEN MEETING",Saturday,04/18/2015,16:10,CENTRAL,"ARREST, BOOKED",2800 Block of LEAVENWORTH ST,-122.419067224379,37.8073339305952,"(37.8073339305952, -122.419067224379)",15033921812161
150341053,BURGLARY,"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY",Saturday,04/18/2015,16:00,CENTRAL,NONE,600 Block of SUTTER ST,-122.411068869703,37.7888557042697,"(37.7888557042697, -122.411068869703)",15034105305033
150339321,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,04/18/2015,16:00,CENTRAL,NONE,VALLEJO ST / DAVIS ST,-122.398886119897,37.7998301864973,"(37.7998301864973, -122.398886119897)",15033932106242
150339343,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,04/18/2015,16:00,CENTRAL,NONE,VALLEJO ST / DAVIS ST,-122.398886119897,37.7998301864973,"(37.7998301864973, -122.398886119897)",15033934306242
150339503,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Saturday,04/18/2015,16:00,NORTHERN,NONE,POLK ST / GEARY ST,-122.419739837805,37.7858926099715,"(37.7858926099715, -122.419739837805)",15033950303014
150339224,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Saturday,04/18/2015,15:30,CENTRAL,NONE,GEARY ST / TAYLOR ST,-122.411518820359,37.7869408998805,"(37.7869408998805, -122.411518820359)",15033922409024
150339274,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Saturday,04/18/2015,15:00,NORTHERN,NONE,HAYES ST / OCTAVIA ST,-122.424623480779,37.7766740025224,"(37.7766740025224, -122.424623480779)",15033927406374
150341150,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Saturday,04/18/2015,14:57,CENTRAL,NONE,600 Block of GEARY ST,-122.413988841812,37.7865685406761,"(37.7865685406761, -122.413988841812)",15034115006304
150339070,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,04/18/2015,14:56,CENTRAL,NONE,400 Block of POST ST,-122.409256096494,37.788239899778,"(37.788239899778, -122.409256096494)",15033907006363
150338975,ASSAULT,"RESISTING PEACE OFFICER, CAUSING THEIR SERIOUS INJURY OR DEATH",Saturday,04/18/2015,14:42,TENDERLOIN,"ARREST, BOOKED",HYDE ST / FULTON ST,-122.415127837608,37.7797870676495,"(37.7797870676495, -122.415127837608)",15033897527172
150214751,LARCENY/THEFT,EMBEZZLEMENT FROM DEPENDENT OR ELDER ADULT BY CARETAKER,Saturday,04/18/2015,13:00,RICHMOND,NONE,0 Block of SUTROHEIGHTS AV,-122.50756451188,37.7761181322276,"(37.7761181322276, -122.50756451188)",15021475106381
150337472,MISSING PERSON,FOUND PERSON,Saturday,04/18/2015,11:35,MISSION,NONE,1000 Block of POTRERO AV,-122.406539115148,37.7564864109309,"(37.7564864109309, -122.406539115148)",15033747275000
150339014,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,04/18/2015,11:23,SOUTHERN,NONE,0 Block of HOWARD ST,-122.392036366343,37.7916194222304,"(37.7916194222304, -122.392036366343)",15033901406244
150339412,MISSING PERSON,FOUND PERSON,Saturday,04/18/2015,10:30,SOUTHERN,NONE,800 Block of MARKET ST,-122.407633520742,37.7841893501425,"(37.7841893501425, -122.407633520742)",15033941275000
150339923,NON-CRIMINAL,COURTESY REPORT,Saturday,04/18/2015,10:30,CENTRAL,NONE,900 Block of HYDE ST,-122.417044292614,37.7895952774322,"(37.7895952774322, -122.417044292614)",15033992368030
150338323,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,04/18/2015,10:23,SOUTHERN,"ARREST, BOOKED",1100 Block of HOWARD ST,-122.410808935375,37.7769299138691,"(37.7769299138691, -122.410808935375)",15033832306243
150338323,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Saturday,04/18/2015,10:23,SOUTHERN,"ARREST, BOOKED",1100 Block of HOWARD ST,-122.410808935375,37.7769299138691,"(37.7769299138691, -122.410808935375)",15033832311012
150339672,BURGLARY,"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY",Saturday,04/18/2015,10:00,NORTHERN,NONE,1300 Block of BUSH ST,-122.419486234049,37.7887480806774,"(37.7887480806774, -122.419486234049)",15033967205033
150339688,NON-CRIMINAL,"AIDED CASE, DOG BITE",Saturday,04/18/2015,10:00,INGLESIDE,NONE,WARD ST / GOETTINGEN ST,-122.403073456853,37.7184650361955,"(37.7184650361955, -122.403073456853)",15033968864010
150337977,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,04/18/2015,08:40,BAYVIEW,"ARREST, BOOKED",FITZGERALD AV / INGALLS ST,-122.391307417333,37.7209756888068,"(37.7209756888068, -122.391307417333)",15033797765016
150338113,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Saturday,04/18/2015,08:10,SOUTHERN,"ARREST, BOOKED",900 Block of MISSION ST,-122.40805253847,37.7815668300024,"(37.7815668300024, -122.40805253847)",15033811305014
